name,m_fuse,p_fuse,m_model,p_model,auprc
Davis_ESM-1B_chemberta,True,True,False,False,0.8262704014778137
Davis_ProtBertT5-xl_chemberta,True,True,True,True,0.8045875430107117
Davis_ProtBertT5-xl_roberta,True,True,True,False,0.8197522163391113
Davis_ESM-1B_roberta,True,True,False,True,0.8333115577697754
Davis_ESM3_chemberta,False,True,True,True,0.8079546689987183
Davis_ProtBertT5-xl_pebchem10m,True,True,False,True,0.8380349278450012
Davis_ESM-1B_pebchem10m,True,True,False,False,0.8336321115493774
Davis_ProtBert-BFD_roberta,True,True,False,False,0.791154146194458
Davis_ProtBert-BFD_chemberta,True,True,True,True,0.8151463866233826
Davis_ESM2_chemberta,False,False,True,True,0.7922504544258118
Davis_ESM3_roberta,True,True,False,False,0.8031627535820007
Davis_ProtBertT5-xl_pebchem10m,True,True,True,False,0.790518581867218
Davis_ESM3_pebchem10m,True,True,False,False,0.8045895099639893
Davis_ESM3_chemberta,True,False,True,True,0.7815653681755066
Davis_ESM2_pebchem10m,True,True,False,False,0.8106550574302673
Davis_ESM2_roberta,True,True,True,True,0.803392231464386
Davis_ProtBert-BFD_pebchem10m,True,True,True,True,0.8101062178611755
Davis_ESM-1B_roberta,True,True,True,False,0.8162099123001099
Davis_ProtBertT5-xl_roberta,False,True,True,True,0.8326108455657959
Davis_ProtBertT5-xl_chemberta,True,True,False,False,0.7980121970176697
Davis_ProtBert-BFD_roberta,False,False,True,True,0.7959405183792114
Davis_ESM2_chemberta,True,True,False,True,0.7945997714996338
Davis_ProtBert-BFD_chemberta,True,True,False,False,0.7817724347114563
Davis_ESM-1B_chemberta,False,False,True,True,0.782137930393219
Davis_ProtBertT5-xl_pebchem10m,False,True,True,True,0.8113061189651489
Davis_ESM-1B_pebchem10m,False,False,True,True,0.7877045273780823
Davis_ESM3_roberta,False,False,True,True,0.7901811599731445
Davis_ESM3_pebchem10m,False,False,True,True,0.8028189539909363
Davis_ESM3_chemberta,True,True,True,True,0.8002200126647949
Davis_ESM2_pebchem10m,False,False,True,True,0.7842240929603577
